segment_id,recording_id,speaker_group_id,dataset_split,segmentation_version,start_seconds,end_seconds,duration_seconds,audio_path,review_status,transcription,final_selection
REC010_SEG0024,REC010,SPK001,train,vad_v1,213.976,223.624,9.648,data/processed/segments/REC010/REC010_SEG0024.wav,included,anini udji ci ɣak abak ḍ yemmak waha lla ɣak ṭawa ɛzizek ṭawa n xwarek jwan jwan atafeḍ asqend ɣak,yes
REC010_SEG0025,REC010,SPK001,train,vad_v1,223.896,229.8,5.904,data/processed/segments/REC010/REC010_SEG0025.wav,included,ci ijjen ssacet waxxa takkuḥt xa ammen iwḍan teggen familya d tameqrant,yes
REC010_SEG0026,REC010,SPK001,train,vad_v1,231.096,241.608,10.512,data/processed/segments/REC010/REC010_SEG0026.wav,included,amji ɣafen ammen xa aqen mliḥ uṭen itriḍu ura ḍ ijj attas n familyaṭ timeqranin teggen mara dca amdji ɣa ggen dca,yes
REC010_SEG0027,REC010,SPK001,train,vad_v1,242.648,248.008,5.36,data/processed/segments/REC010/REC010_SEG0027.wav,included,atafeḍ iwḍan ɛad tessnen ayawya ɛad tessnen ayawya ɛad temsemeraken,yes
REC010_SEG0028,REC010,SPK001,train,vad_v1,248.76,259.752,10.992,data/processed/segments/REC010/REC010_SEG0028.wav,included,safi muru uṭeniriḍi ura d ijj temɣurn ḥetta ategged amya atafeḍ dca imɣa axas ugan ɛawed ijjen rebɛad n familyaṭ familyaṭ nneɣni teggen ɛawed dca nsen waḥeḍsen,yes
REC010_SEG0029,REC010,SPK001,train,vad_v1,260.248,263.752,3.504,data/processed/segments/REC010/REC010_SEG0029.wav,included,uxa ammen amdji din attas n dcuraṭ,yes
REC010_SEG0030,REC010,SPK001,train,vad_v1,264.12,278.088,13.968,data/processed/segments/REC010/REC010_SEG0030.wav,included,ssnen ira teɛnan i wayawya ɣa cwitti waha uxa tekksen ak wayawya smunan dcuraṭ nni dcuraṭ nni mdji ɣa munen uxa teggen awar ḍ lqanun teggen mara,yes
REC010_SEG0031,REC010,SPK001,train,vad_v1,278.552,279.496,0.944,data/processed/segments/REC010/REC010_SEG0031.wav,included,aqbir,yes
REC010_SEG0032,REC010,SPK001,train,vad_v1,280.728,285.256,4.528,data/processed/segments/REC010/REC010_SEG0032.wav,included,imeqqan aqbir ssedj mliḥ s ṭmaziɣt aqbir zɛma qebren x wayawya,yes
REC010_SEG0033,REC010,SPK001,train,vad_v1,285.976,300.424,14.448,data/processed/segments/REC010/REC010_SEG0033.wav,included,min qebren zi wayawya qebren zi wayawya ad ɛeddan x iberiḍen wayawya aḍ ɛeddan x ḍmura n wayawya ur tenɛeddan ci x wayawya aḍ teggen tekksen ak wayawya mirmi ɣa ggen bursaṭ bursa neqqas necnin s ṭmaziɣt zeɛma essuq,yes
REC010_SEG0034,REC010,SPK001,train,vad_v1,300.568,312.712,12.144,data/processed/segments/REC010/REC010_SEG0034.wav,included,essuq ḍ bu nnaɛeft neccin neqaras bursa tekksen ak wayawya mermi ɣa ggen bursaṭ tekksen ak wayawya mux ɣa zenzen ṭammurt ni mux atmubeddaren ṭimmura ḍwenni umi qqaren aqbir,yes
REC010_SEG0035,REC010,SPK001,train,vad_v1,313.304,326.888,13.584,data/processed/segments/REC010/REC010_SEG0035.wav,included,mara munen attas n dcuraṭ mara s wawar ḍ rqanun waxxa amedji ɣa imɣar aqbir nni xa ḍin attas n iwdan uxa yeɛda ijjen miqddar n iwdan ataf iwdan utessinen ci ataf uqqimen ci tesnen ayawya,yes
REC010_SEG0036,REC010,SPK001,train,vad_v1,327.928,331.24,3.312,data/processed/segments/REC010/REC010_SEG0036.wav,included,zi ssin agayta min ytuqeɛen imma,yes
REC010_SEG0037,REC010,SPK001,train,vad_v1,331.8,345.64,13.84,data/processed/segments/REC010/REC010_SEG0037.wav,included,,no
REC010_SEG0038,REC010,SPK001,train,vad_v1,345.752,348.392,2.64,data/processed/segments/REC010/REC010_SEG0038.wav,included,,no
REC010_SEG0039,REC010,SPK001,train,vad_v1,348.728,362.32,13.592,data/processed/segments/REC010/REC010_SEG0039.wav,included,,no
REC010_SEG0040,REC010,SPK001,train,vad_v1,362.32,365.0,2.68,data/processed/segments/REC010/REC010_SEG0040.wav,included,,no
REC010_SEG0041,REC010,SPK001,train,vad_v1,366.2,372.936,6.736,data/processed/segments/REC010/REC010_SEG0041.wav,included,,no
REC010_SEG0042,REC010,SPK001,train,vad_v1,373.4,381.704,8.304,data/processed/segments/REC010/REC010_SEG0042.wav,included,,no
REC010_SEG0043,REC010,SPK001,train,vad_v1,381.752,389.832,8.08,data/processed/segments/REC010/REC010_SEG0043.wav,included,,no
REC010_SEG0044,REC010,SPK001,train,vad_v1,390.712,397.256,6.544,data/processed/segments/REC010/REC010_SEG0044.wav,included,,no
REC010_SEG0045,REC010,SPK001,train,vad_v1,397.784,406.056,8.272,data/processed/segments/REC010/REC010_SEG0045.wav,included,,no
REC010_SEG0046,REC010,SPK001,train,vad_v1,406.84,414.568,7.728,data/processed/segments/REC010/REC010_SEG0046.wav,included,,no
REC010_SEG0047,REC010,SPK001,train,vad_v1,415.224,426.248,11.024,data/processed/segments/REC010/REC010_SEG0047.wav,included,,no
REC010_SEG0048,REC010,SPK001,train,vad_v1,427.224,428.232,1.008,data/processed/segments/REC010/REC010_SEG0048.wav,included,,no
REC010_SEG0049,REC010,SPK001,train,vad_v1,431.864,433.576,1.712,data/processed/segments/REC010/REC010_SEG0049.wav,included,,no
REC010_SEG0050,REC010,SPK001,train,vad_v1,434.616,436.832,2.216,data/processed/segments/REC010/REC010_SEG0050.wav,included,,no
REC010_SEG0051,REC010,SPK001,train,vad_v1,436.832,449.856,13.024,data/processed/segments/REC010/REC010_SEG0051.wav,included,,no
REC010_SEG0052,REC010,SPK001,train,vad_v1,449.856,457.832,7.976,data/processed/segments/REC010/REC010_SEG0052.wav,included,,no
REC010_SEG0053,REC010,SPK001,train,vad_v1,457.944,466.92,8.976,data/processed/segments/REC010/REC010_SEG0053.wav,included,,no
REC010_SEG0054,REC010,SPK001,train,vad_v1,467.448,473.832,6.384,data/processed/segments/REC010/REC010_SEG0054.wav,included,,no
REC010_SEG0055,REC010,SPK001,train,vad_v1,475.096,477.64,2.544,data/processed/segments/REC010/REC010_SEG0055.wav,included,,no
REC010_SEG0056,REC010,SPK001,train,vad_v1,478.776,488.744,9.968,data/processed/segments/REC010/REC010_SEG0056.wav,included,,no
REC010_SEG0057,REC010,SPK001,train,vad_v1,489.784,496.904,7.12,data/processed/segments/REC010/REC010_SEG0057.wav,included,,no
REC010_SEG0058,REC010,SPK001,train,vad_v1,497.496,508.008,10.512,data/processed/segments/REC010/REC010_SEG0058.wav,included,,no
REC010_SEG0059,REC010,SPK001,train,vad_v1,508.536,514.72,6.184,data/processed/segments/REC010/REC010_SEG0059.wav,included,,no
REC010_SEG0060,REC010,SPK001,train,vad_v1,514.72,525.192,10.472,data/processed/segments/REC010/REC010_SEG0060.wav,included,,no
REC010_SEG0061,REC010,SPK001,train,vad_v1,525.624,537.504,11.88,data/processed/segments/REC010/REC010_SEG0061.wav,included,,no
REC010_SEG0062,REC010,SPK001,train,vad_v1,537.504,546.44,8.936,data/processed/segments/REC010/REC010_SEG0062.wav,included,,no
REC010_SEG0063,REC010,SPK001,train,vad_v1,547.128,548.2,1.072,data/processed/segments/REC010/REC010_SEG0063.wav,included,,no
REC010_SEG0064,REC010,SPK001,train,vad_v1,548.632,563.44,14.808,data/processed/segments/REC010/REC010_SEG0064.wav,included,,no
REC010_SEG0065,REC010,SPK001,train,vad_v1,563.44,567.08,3.64,data/processed/segments/REC010/REC010_SEG0065.wav,included,,no
REC010_SEG0066,REC010,SPK001,train,vad_v1,567.48,580.896,13.416,data/processed/segments/REC010/REC010_SEG0066.wav,included,,no
REC010_SEG0067,REC010,SPK001,train,vad_v1,580.896,591.568,10.672,data/processed/segments/REC010/REC010_SEG0067.wav,included,,no
REC010_SEG0068,REC010,SPK001,train,vad_v1,591.568,603.712,12.144,data/processed/segments/REC010/REC010_SEG0068.wav,included,,no
REC010_SEG0069,REC010,SPK001,train,vad_v1,603.712,615.4,11.688,data/processed/segments/REC010/REC010_SEG0069.wav,included,,no
REC010_SEG0070,REC010,SPK001,train,vad_v1,615.8,620.104,4.304,data/processed/segments/REC010/REC010_SEG0070.wav,included,,no
REC010_SEG0071,REC010,SPK001,train,vad_v1,620.376,630.816,10.44,data/processed/segments/REC010/REC010_SEG0071.wav,included,,no
REC010_SEG0072,REC010,SPK001,train,vad_v1,630.816,635.248,4.432,data/processed/segments/REC010/REC010_SEG0072.wav,included,,no
REC010_SEG0073,REC010,SPK001,train,vad_v1,635.248,649.936,14.688,data/processed/segments/REC010/REC010_SEG0073.wav,included,,no
REC010_SEG0074,REC010,SPK001,train,vad_v1,649.936,662.376,12.44,data/processed/segments/REC010/REC010_SEG0074.wav,included,,no
REC010_SEG0075,REC010,SPK001,train,vad_v1,662.616,665.664,3.048,data/processed/segments/REC010/REC010_SEG0075.wav,included,,no
REC010_SEG0076,REC010,SPK001,train,vad_v1,665.664,679.552,13.888,data/processed/segments/REC010/REC010_SEG0076.wav,included,,no
REC010_SEG0077,REC010,SPK001,train,vad_v1,679.552,681.576,2.024,data/processed/segments/REC010/REC010_SEG0077.wav,included,,no
REC010_SEG0078,REC010,SPK001,train,vad_v1,682.168,695.304,13.136,data/processed/segments/REC010/REC010_SEG0078.wav,included,,no
REC010_SEG0079,REC010,SPK001,train,vad_v1,695.928,700.279,4.351,data/processed/segments/REC010/REC010_SEG0079.wav,included,,no
REC011_SEG0001,REC011,SPK001,train,vad_v1,0.312,11.272,10.96,data/processed/segments/REC011/REC011_SEG0001.wav,included,waxxa ruxa qa anessiwer x ismawen n iqbiren i ɣaneɣ gi ṭmura nneɣ uṭen teggeɣ ci qaɛ qaɛ maca aḍgeɣ ṭenni ṭimeqqranin qqaɛ ṭenni inessen qaɛ,yes
REC011_SEG0002,REC011,SPK001,train,vad_v1,11.48,22.344,10.864,data/processed/segments/REC011/REC011_SEG0002.wav,included,sinn iqbiren ikkuḥen imken axasen nsseɛḍa ciḥaja n wawar imken imken aɣasen nexza ciḥaja imken,yes
REC011_SEG0003,REC011,SPK001,train,vad_v1,22.584,33.104,10.52,data/processed/segments/REC011/REC011_SEG0003.wav,included,axasen dnawi caḥaja wawar waha maca ci nneɣni a nessiwer x iqbiren imeqqranen waxxa x iqbiren nni imeqqranen tiqebari nni nsen iksend aḍixer waxxa d tinni,yes
REC011_SEG0004,REC011,SPK001,train,vad_v1,33.104,40.168,7.064,data/processed/segments/REC011/REC011_SEG0004.wav,included,uxissen nessiwer ci gi vidyo ya mizi ugḍeɣ aḍ ɛeḍreɣ attas di wawar waxxa,yes
REC011_SEG0005,REC011,SPK001,train,vad_v1,40.664,54.184,13.52,data/processed/segments/REC011/REC011_SEG0005.wav,included,aqbir ḍamezgaru minzi ɣa bḍiɣ ad bḍiɣ s ayṭwayaɣer ayṭwayaɣer qaɛ snenṭen attas ɛizzen xasen ayṭwayaɣer ḍin rebɛaḍiṭ mellenṭen w iwa ɛad rux kur ijj,yes
REC011_SEG0006,REC011,SPK001,train,vad_v1,54.2,60.712,6.512,data/processed/segments/REC011/REC011_SEG0006.wav,included,maca ijjen n mesrayṭ ixessa a tessnem mara xzard a umezruy n iwḍan nneɣ atafeḍ,yes
REC011_SEG0007,REC011,SPK001,train,vad_v1,62.008,70.088,8.08,data/processed/segments/REC011/REC011_SEG0007.wav,included,qqaɛ iwḍan waxxa bnaḍem ḍaqerɛi niɣ ḍ ukebḍani ḍ uznasi mani ma is d ikka atafeḍ l assel nsen,yes
REC011_SEG0008,REC011,SPK001,train,vad_v1,70.328,79.328,9.0,data/processed/segments/REC011/REC011_SEG0008.wav,included,zi ayṭwayaɣer qaɛ ṭiqebbarin nneɣni kkind zi ayṭwayaɣer ayṭwayaɣer i edjan ṭaqbic ṭamezgarut,yes
REC011_SEG0009,REC011,SPK001,train,vad_v1,79.328,89.16,9.832,data/processed/segments/REC011/REC011_SEG0009.wav,included,i dyuṭfen gi ṭammurt mani ntiri qqaɛ yaɛni cek mara ṭufiḍ ixfinek d uṭemsaman yih aqbir inek d uṭemsaman maca mara ṭɛeqbeḍ,yes
REC011_SEG0010,REC011,SPK001,train,vad_v1,89.336,101.832,12.496,data/processed/segments/REC011/REC011_SEG0010.wav,included,a ṭmezaruut qqaɛ atafed ḍawayaɣer rad cek ayṭ tuzin amenniɣni ayṭsɛiḍ igzennayen imeḍarsen ayṭbu qaɛ qaɛ ṭiqebbarin nni kind zi ayṭwayaɣer,yes
REC011_SEG0011,REC011,SPK001,train,vad_v1,102.264,113.96,11.696,data/processed/segments/REC011/REC011_SEG0011.wav,included,maca wami ṭeɛḍa rweqṭ amux ḍakum nniɣ xumezgaru zi ɣa temɣa aqbir uxa tekkent zeggs ṭiqebbarin uxa ṭiqebbarin nni teggen iqbiren nni w ixfensen,yes
REC011_SEG0012,REC011,SPK001,train,vad_v1,114.328,123.424,9.096,data/processed/segments/REC011/REC011_SEG0012.wav,included,xa zi ssin ydekkin ṭiqebarin nneɣni n ṭemsaman ayṭuwzin imeḍarsen maca qa amenni ytaḥ,yes
REC011_SEG0013,REC011,SPK001,train,vad_v1,123.424,136.84,13.416,data/processed/segments/REC011/REC011_SEG0013.wav,included,waxxa ṭebḍa zi ayṭwayeɣer rux rad iwdan nneɣni gin aqbir nsen gin rqanun nsen ggin awar nsen uxa ammen waxxa neccin qa nbḍa s ayṭwayaɣer waxxa ijjen ṭeqqaḍas,yes
REC011_SEG0014,REC011,SPK001,train,vad_v1,136.888,141.192,4.304,data/processed/segments/REC011/REC011_SEG0014.wav,included,,no
REC011_SEG0015,REC011,SPK001,train,vad_v1,142.104,146.824,4.72,data/processed/segments/REC011/REC011_SEG0015.wav,included,,no
REC011_SEG0016,REC011,SPK001,train,vad_v1,148.472,149.704,1.232,data/processed/segments/REC011/REC011_SEG0016.wav,included,,no
REC011_SEG0017,REC011,SPK001,train,vad_v1,151.608,163.184,11.576,data/processed/segments/REC011/REC011_SEG0017.wav,included,,no
REC011_SEG0018,REC011,SPK001,train,vad_v1,163.184,167.624,4.44,data/processed/segments/REC011/REC011_SEG0018.wav,included,,no
REC011_SEG0019,REC011,SPK001,train,vad_v1,168.248,183.056,14.808,data/processed/segments/REC011/REC011_SEG0019.wav,included,,no
REC011_SEG0020,REC011,SPK001,train,vad_v1,183.056,187.944,4.888,data/processed/segments/REC011/REC011_SEG0020.wav,included,,no
REC011_SEG0021,REC011,SPK001,train,vad_v1,188.44,197.856,9.416,data/processed/segments/REC011/REC011_SEG0021.wav,included,,no
REC011_SEG0022,REC011,SPK001,train,vad_v1,197.856,204.712,6.856,data/processed/segments/REC011/REC011_SEG0022.wav,included,,no
REC011_SEG0023,REC011,SPK001,train,vad_v1,205.08,218.664,13.584,data/processed/segments/REC011/REC011_SEG0023.wav,included,,no
REC011_SEG0024,REC011,SPK001,train,vad_v1,219.512,222.792,3.28,data/processed/segments/REC011/REC011_SEG0024.wav,included,,no
REC011_SEG0025,REC011,SPK001,train,vad_v1,223.096,235.136,12.04,data/processed/segments/REC011/REC011_SEG0025.wav,included,,no
REC011_SEG0026,REC011,SPK001,train,vad_v1,235.136,244.776,9.64,data/processed/segments/REC011/REC011_SEG0026.wav,included,,no
REC011_SEG0027,REC011,SPK001,train,vad_v1,245.912,256.648,10.736,data/processed/segments/REC011/REC011_SEG0027.wav,included,,no
REC011_SEG0028,REC011,SPK001,train,vad_v1,256.76,262.696,5.936,data/processed/segments/REC011/REC011_SEG0028.wav,included,,no
REC011_SEG0029,REC011,SPK001,train,vad_v1,263.48,274.216,10.736,data/processed/segments/REC011/REC011_SEG0029.wav,included,,no
REC011_SEG0030,REC011,SPK001,train,vad_v1,274.904,281.896,6.992,data/processed/segments/REC011/REC011_SEG0030.wav,included,,no
REC011_SEG0031,REC011,SPK001,train,vad_v1,282.488,293.32,10.832,data/processed/segments/REC011/REC011_SEG0031.wav,included,,no
REC011_SEG0032,REC011,SPK001,train,vad_v1,293.528,303.784,10.256,data/processed/segments/REC011/REC011_SEG0032.wav,included,,no
REC011_SEG0033,REC011,SPK001,train,vad_v1,304.248,312.2,7.952,data/processed/segments/REC011/REC011_SEG0033.wav,included,,no
REC011_SEG0034,REC011,SPK001,train,vad_v1,312.6,326.024,13.424,data/processed/segments/REC011/REC011_SEG0034.wav,included,,no
REC011_SEG0035,REC011,SPK001,train,vad_v1,326.072,329.352,3.28,data/processed/segments/REC011/REC011_SEG0035.wav,included,,no
REC011_SEG0036,REC011,SPK001,train,vad_v1,329.72,343.68,13.96,data/processed/segments/REC011/REC011_SEG0036.wav,included,,no
REC011_SEG0037,REC011,SPK001,train,vad_v1,343.68,351.976,8.296,data/processed/segments/REC011/REC011_SEG0037.wav,included,,no
REC011_SEG0038,REC011,SPK001,train,vad_v1,352.376,361.064,8.688,data/processed/segments/REC011/REC011_SEG0038.wav,included,,no
REC011_SEG0039,REC011,SPK001,train,vad_v1,361.4,367.432,6.032,data/processed/segments/REC011/REC011_SEG0039.wav,included,,no
REC011_SEG0040,REC011,SPK001,train,vad_v1,368.696,376.296,7.6,data/processed/segments/REC011/REC011_SEG0040.wav,included,,no
REC011_SEG0041,REC011,SPK001,train,vad_v1,376.536,386.432,9.896,data/processed/segments/REC011/REC011_SEG0041.wav,included,,no
REC011_SEG0042,REC011,SPK001,train,vad_v1,386.432,394.408,7.976,data/processed/segments/REC011/REC011_SEG0042.wav,included,,no
REC011_SEG0043,REC011,SPK001,train,vad_v1,394.968,405.512,10.544,data/processed/segments/REC011/REC011_SEG0043.wav,included,,no
REC011_SEG0044,REC011,SPK001,train,vad_v1,405.592,410.344,4.752,data/processed/segments/REC011/REC011_SEG0044.wav,included,,no
REC011_SEG0045,REC011,SPK001,train,vad_v1,414.744,425.096,10.352,data/processed/segments/REC011/REC011_SEG0045.wav,included,,no
REC011_SEG0046,REC011,SPK001,train,vad_v1,425.88,428.456,2.576,data/processed/segments/REC011/REC011_SEG0046.wav,included,,no
REC011_SEG0047,REC011,SPK001,train,vad_v1,428.504,441.504,13.0,data/processed/segments/REC011/REC011_SEG0047.wav,included,,no
REC011_SEG0048,REC011,SPK001,train,vad_v1,441.504,452.296,10.792,data/processed/segments/REC011/REC011_SEG0048.wav,included,,no
REC011_SEG0049,REC011,SPK001,train,vad_v1,453.144,457.736,4.592,data/processed/segments/REC011/REC011_SEG0049.wav,included,,no
REC011_SEG0050,REC011,SPK001,train,vad_v1,458.68,464.872,6.192,data/processed/segments/REC011/REC011_SEG0050.wav,included,,no
REC011_SEG0051,REC011,SPK001,train,vad_v1,465.592,469.128,3.536,data/processed/segments/REC011/REC011_SEG0051.wav,included,,no
REC011_SEG0052,REC011,SPK001,train,vad_v1,469.592,483.92,14.328,data/processed/segments/REC011/REC011_SEG0052.wav,included,,no
REC011_SEG0053,REC011,SPK001,train,vad_v1,483.92,495.048,11.128,data/processed/segments/REC011/REC011_SEG0053.wav,included,,no
REC011_SEG0054,REC011,SPK001,train,vad_v1,495.64,501.896,6.256,data/processed/segments/REC011/REC011_SEG0054.wav,included,,no
REC011_SEG0055,REC011,SPK001,train,vad_v1,502.744,504.52,1.776,data/processed/segments/REC011/REC011_SEG0055.wav,included,,no
REC011_SEG0056,REC011,SPK001,train,vad_v1,505.048,518.248,13.2,data/processed/segments/REC011/REC011_SEG0056.wav,included,,no
REC011_SEG0057,REC011,SPK001,train,vad_v1,519.192,521.64,2.448,data/processed/segments/REC011/REC011_SEG0057.wav,included,,no
REC011_SEG0058,REC011,SPK001,train,vad_v1,522.2,536.288,14.088,data/processed/segments/REC011/REC011_SEG0058.wav,included,,no
REC011_SEG0059,REC011,SPK001,train,vad_v1,536.288,548.52,12.232,data/processed/segments/REC011/REC011_SEG0059.wav,included,,no
REC011_SEG0060,REC011,SPK001,train,vad_v1,548.984,559.4,10.416,data/processed/segments/REC011/REC011_SEG0060.wav,included,,no
REC011_SEG0061,REC011,SPK001,train,vad_v1,560.152,574.088,13.936,data/processed/segments/REC011/REC011_SEG0061.wav,included,,no
REC011_SEG0062,REC011,SPK001,train,vad_v1,574.776,584.648,9.872,data/processed/segments/REC011/REC011_SEG0062.wav,included,,no
REC011_SEG0063,REC011,SPK001,train,vad_v1,585.432,590.28,4.848,data/processed/segments/REC011/REC011_SEG0063.wav,included,,no
REC011_SEG0064,REC011,SPK001,train,vad_v1,590.904,600.424,9.52,data/processed/segments/REC011/REC011_SEG0064.wav,included,,no
REC011_SEG0065,REC011,SPK001,train,vad_v1,601.272,603.368,2.096,data/processed/segments/REC011/REC011_SEG0065.wav,included,,no
REC011_SEG0066,REC011,SPK001,train,vad_v1,604.088,605.704,1.616,data/processed/segments/REC011/REC011_SEG0066.wav,included,,no
REC011_SEG0067,REC011,SPK001,train,vad_v1,606.168,620.672,14.504,data/processed/segments/REC011/REC011_SEG0067.wav,included,,no
REC011_SEG0068,REC011,SPK001,train,vad_v1,620.672,625.192,4.52,data/processed/segments/REC011/REC011_SEG0068.wav,included,,no
REC011_SEG0069,REC011,SPK001,train,vad_v1,625.88,636.36,10.48,data/processed/segments/REC011/REC011_SEG0069.wav,included,,no
