segment_id,recording_id,speaker_group_id,dataset_split,segmentation_version,start_seconds,end_seconds,duration_seconds,audio_paṭ,review_status,transcription,final_selection,mms_draft_raw,mms_draft_normalized,final_transcription,manual_review,transcription_notes
REC034_SEG0016,REC034,SPK002,train,vad_v1,148.696,160.912,12.216,data/processed/segments/REC034/REC034_SEG0016.wav,included,tafḍ ɣasen ijjen nnaḍariya ijjen latiyuri qqanas prupurciunaliti niɣ nnadariya nnisbiyya min dak ṭeqqar ṭeqqarak cḥar ma zzaman,no,"taf d ɣasən ijjen nnadariya, ijjen naṭiyuri, əqqanas prupurtiunaliti, niɣ nnadariya nnisbiyya, min dak ṭəqqar, ṭəqqar ak šḥarma zzaman.",taf d ɣasen ijjen nnadariya ijjen naṭiyuri eqqanas prupurtiunaliti niɣ nnadariya nnisbiyya min dak ṭeqqar ṭeqqar ak cḥarma zzaman,,pending,
REC034_SEG0017,REC034,SPK002,train,vad_v1,160.912,169.032,8.12,data/processed/segments/REC034/REC034_SEG0017.wav,included,itcekkal ijj n ijj n nniseba ṭemɣa zi lḥayet inek cḥa ma yɛedda cway cway cḥar ma lmudda zamaniya ni tcekkal,no,"ytšəkkal ijjen ijjen nnisəbaṭəmɣara zi lḥayət inək, šḥama yɛəddəš waɣa ɣaɣ išway, šḥar ma lmuddas zamaniyan tšəkkal.",ytcekkal ijjen ijjen nnisebaṭemɣara zi lḥayet inek cḥama yɛeddec waɣa ɣaɣ icway cḥar ma lmuddas zamaniyan tcekkal,,pending,
REC034_SEG0018,REC034,SPK002,train,vad_v1,169.176,181.8,12.624,data/processed/segments/REC034/REC034_SEG0018.wav,included,ijjen nnisba tamezyant zi ṭudaṭ inek rweqṭ iggʷa ḍeɣya akum dcarḥeɣ rux mara teɛqqarem umi ira nedja d imezyanen ira anebdu u ytkemmir,no,"ijjen nnisbəṭṭa məzyan zi ṭudaḍinək, rwəqṭ igwa ḍəɣya, akum šarḥ, dux məra təɛqqarəm, umira nəjad himəzyanən, ira ɣa nəbdu u ytkəmmira.",ijjen nnisbeṭṭa mezyan zi ṭudaḍinek rweqṭ igwa ḍeɣya akum carḥ dux mera teɛqqarem umira nejad himezyanen ira ɣa nebdu u ytkemmira,,pending,
REC034_SEG0019,REC034,SPK002,train,vad_v1,182.04,185.832,3.792,data/processed/segments/REC034/REC034_SEG0019.wav,included,axmi tfekkaɣ rebɛad inebḍuṭen sseɛdixṭen,no,"axmi tfəkkaɣ, rəbɛad inəbduṭən ssəɛdixtən.",axmi tfekkaɣ rebɛad inebduṭen sseɛdixten,,pending,
REC034_SEG0020,REC034,SPK002,train,vad_v1,186.104,199.872,13.768,data/processed/segments/REC034/REC034_SEG0020.wav,included,essawid abbi am cɣer sseɛḍiɣ ɛam ikmer g unebḍu ɛaḍ teɛqereɣ x rebḥa umi ɣas hggʷiɣ ɛqreɣ ṭwaret tamezgarut umi hwiɣ a rebḥar bra baba dg imeddukar inu ɛeqereɣ,no,"əssawid arəbbi mɣar ssəɛḍiɣ ɛam ikmər, gnəbdu, ɛaḍ tɛaqərəɣx rəbḥa mi ɣas-akgwi ɛqrəɣ ṭwər taməzgar u tumiwi ɣar rəbḥar bra baba dgiməddukar inu ɛqərx.",essawid arebbi mɣar sseɛḍiɣ ɛam ikmer gnebdu ɛaḍ tɛaqereɣx rebḥa mi ɣas akgwi ɛqreɣ ṭwer tamezgar u tumiwi ɣar rebḥar bra baba dgimeddukar inu ɛqerx,,pending,
REC034_SEG0021,REC034,SPK002,train,vad_v1,199.872,202.568,2.696,data/processed/segments/REC034/REC034_SEG0021.wav,included,ɛeqreɣ x familya ir ditasen zi lxarij,no,ɛəqrə x familyiriditasənzi lxarij.,ɛeqre x familyiriditasenzi lxarij,,pending,
REC034_SEG0022,REC034,SPK002,train,vad_v1,203.064,215.464,12.4,data/processed/segments/REC034/REC034_SEG0022.wav,included,ɛeqreɣ xmi ira nteɛya ɛeqreɣ x djeyari ira nteffeɣ a parki ɛeqreɣ anebdu sḥissid zakes deqqaḍas manaya gads ɛam walakin gi lḥaqiqa min daɣ qqan ruxa lɛulama n ɛilm nnefs,no,"ɛqərɣ xmi rra n ṭəɛya ɛqrəɣ x djiar irun ṭəffuɣa parki ɛqrəɣ, a nəbdəs ɛissi zzək s-dəqqaḍas manya, ḍək s ɛam,. walakin gi lḥaqiqa min ḍaəqqan luxaɣ lɛulama nayənm nnəfs.",ɛqerɣ xmi rra n ṭeɛya ɛqreɣ x djiar irun ṭeffuɣa parki ɛqreɣ a nebdes ɛissi zzek s deqqaḍas manya ḍek s ɛam walakin gi lḥaqiqa min ḍaeqqan luxaɣ lɛulama nayenm nnefs,,pending,
REC034_SEG0023,REC034,SPK002,train,vad_v1,215.736,219.24,3.504,data/processed/segments/REC034/REC034_SEG0023.wav,included,gi gi naḍariya ya ṭanitin prupursiunal ṭiyuri,no,ənnaḍariyiy ṭanitim prupurša nar l ṭiuri.,ennaḍariyiy ṭanitim prupurca nar l ṭiuri,,pending,
REC034_SEG0024,REC034,SPK002,train,vad_v1,219.384,230.984,11.6,data/processed/segments/REC034/REC034_SEG0024.wav,included,qanak si nurmal azzaks s tesḥisseḍ ira imɣa tsemma anebdu nni ḍameqqran maɣa mizi anebdu nni ytcekkal ijjen n prupurcen prupurcenal ṭiyuri,no,"qanak nəssin nurmal azzək s-tḥissəḍ ira imɣaha tmaɣanəbdu nni ḍaməqqran, maɣa mizianəbdu nni, ytšəkkal ijjen. n prupuršən, prupuršənal ṭiyuri.",qanak nessin nurmal azzek s tḥisseḍ ira imɣaha tmaɣanebdu nni ḍameqqran maɣa mizianebdu nni ytcekkal ijjen n prupurcen prupurcenal ṭiyuri,,pending,
REC034_SEG0025,REC034,SPK002,train,vad_v1,231.224,243.016,11.792,data/processed/segments/REC034/REC034_SEG0025.wav,included,ṭusad zi prupurcen nnisbiya niɣ nniṣba yɛni a nebdu nni mecḥar i gi itcekkal ḍ nnisba zi ṭuḍaṭ inek ṭekmer maṭalann ijjen xmessnin niɣ d stesnin ,no,"ṭusad zi prupuršən nnisbiya niɣ nniṣba, iɛni, a nəbdu nni, məšḥar i itšəkkər ḍ nnisba, zi ṭuḍaṭinək ṭəkmər, maaṭallin š jjs xməssnin, niɣ ṭs-təsnin.",ṭusad zi prupurcen nnisbiya niɣ nniṣba iɛni a nebdu nni mecḥar i itcekker ḍ nnisba zi ṭuḍaṭinek ṭekmer maaṭallin c jjs xmessnin niɣ ṭs tesnin,,pending,
REC034_SEG0026,REC034,SPK002,train,vad_v1,243.224,251.24,8.016,data/processed/segments/REC034/REC034_SEG0026.wav,included,anebdu nni atafeḍ ytcekkal ijjen ɛicrin gi miya zi ṭudaṭ ines niɣ lɛam itcekkal ɛicrin gi miya zi ṭudaṭ ines,no,"anəbdu nni atafəḍ ytšəkkal ijjen n ɛišri gimya zi ṭudaṭins, niɣ lɛam, itšəkkal ɛišrin gimyazi tudaṭins.",anebdu nni atafeḍ ytcekkal ijjen n ɛicri gimya zi ṭudaṭins niɣ lɛam itcekkal ɛicrin gimyazi tudaṭins,,pending,
REC034_SEG0027,REC034,SPK002,train,vad_v1,251.448,261.096,9.648,data/processed/segments/REC034/REC034_SEG0027.wav,included,walakin xmi ntnumɣa maṭalan necc eggʷaɣ ruxa weḥdu ṭraṭin iseggusa ɛam itcekkal mara neggas reḥsab teqriban ṭraṭa gi miya,no,"walakin xmi ntnumɣa, aṭalannnišəggwaɣ ruxaa ləḥdudraṭin is-ggusa, ɛam, ətšəkkal, məla nəkas rəḥsab, məqrib nra ṭakmi.",walakin xmi ntnumɣa aṭalannniceggwaɣ ruxaa leḥdudraṭin is ggusa ɛam etcekkal mela nekas reḥsab meqrib nra ṭakmi,,pending,
REC034_SEG0028,REC034,SPK002,train,vad_v1,261.144,271.976,10.832,data/processed/segments/REC034/REC034_SEG0028.wav,included,zi ɛicrin gi miya ɣa ṭraṭa gi miya bezzaf u mara nessiwer x ci ijjen ɣa ssetin sna tiri ɛam ytcekkal waḥit gi miya niɣ waḥit ḍ uzgen,no,"zi ḥišrin gimiya ɣa ṭraṭa gimiya, bəzzaf, u məra nəssiwər ləxši jn ɣar ssətin sna, tiri ɛam ytšəkkal waid əmiya niɣd waḥid ḍuzgən.",zi ḥicrin gimiya ɣa ṭraṭa gimiya bezzaf u mera nessiwer lexci jn ɣar ssetin sna tiri ɛam ytcekkal waid emiya niɣd waḥid ḍuzgen,,pending,
REC034_SEG0029,REC034,SPK002,train,vad_v1,272.056,285.352,13.296,data/processed/segments/REC034/REC034_SEG0029.wav,included,lmuhim lɛulama n ɛilem nnefs ɣasen ṭamsrayṭa qanak kur ma nemɣa wussan ṭemziyyen yɛni rweqṭ iɛedda deɣya walakin amux izareɣ udji bu ḍ manaya udji bu ḍ wa ḍ ssabab,no,"lmuhim, lɛulama nɛiləm nnəfs, ɣars-n ṭamsrayṭaqqana kur ma ləmɣar wussan ṭəmziyyən, iɛni rwəqṭ iɛəddad ɣya, walakin muxzarəɣ djwuḍ manaya wahad twəddjuḍ wə ḍ ssabab.",lmuhim lɛulama nɛilem nnefs ɣars n ṭamsrayṭaqqana kur ma lemɣar wussan ṭemziyyen iɛni rweqṭ iɛeddad ɣya walakin muxzareɣ djwuḍ manaya wahad tweddjuḍ we ḍ ssabab,,pending,
REC034_SEG0030,REC034,SPK002,train,vad_v1,285.4,293.736,8.336,data/processed/segments/REC034/REC034_SEG0030.wav,included,amux ettafeɣ necc qaɣ zeɛma reɛqer nneɣ etmiyyaz rḥajeṭ igidja itɛicit ḍ jdiḍ itɛicit di ḍwaret tamezgarut,no,"amuxəttaf ɣniš qaɣ zəɛməɣ, rɛqər nnəɣ, ətmiyyaz rḥašs ṭigəja tɛišit ḍ jdiḍ, itɛišit diḍward taməzgarut.",amuxettaf ɣnic qaɣ zeɛmeɣ rɛqer nneɣ etmiyyaz rḥacs ṭigeja tɛicit ḍ jdiḍ itɛicit diḍward tamezgarut,,pending,
REC034_SEG0031,REC034,SPK002,train,vad_v1,293.848,307.976,14.128,data/processed/segments/REC034/REC034_SEG0031.wav,included,ḍ reḥwayej igidja n itɛiciṭen kur nha n qarasen necnin arutin ɣar xmi ḍeggʷerent riyyam ḍ arrutin waha maṭalan ṭaḥed a rxedmeṭ a ṭmenya n ṣṣbaḥ ṭeffeɣd a setta zi ṭmenya ɣa setta kur nha lɛam ikmer iḍeggʷer manayenni ḍarruṭin,no,"ḍ rəḥ wayjig əjitiɛišiṭənt kur naɛa qarasən šənnin arruṭin, ɣar xmi ḍəg ggərən triyyam ḍ arruṭinwa maṭana ṭaḥda rxdm ṭmənin ṣṣbaḥ ṭəffəɣd asətta, ziṭmənni aɣastta, kur naa, lɛam ikmər, iyḍəggər manayənna ḍarruṭin.",ḍ reḥ wayjig ejitiɛiciṭent kur naɛa qarasen cennin arruṭin ɣar xmi ḍeg ggeren triyyam ḍ arruṭinwa maṭana ṭaḥda rxdm ṭmenin ṣṣbaḥ ṭeffeɣd asetta ziṭmenni aɣastta kur naa lɛam ikmer iyḍegger manayenna ḍarruṭin,,pending,
REC034_SEG0032,REC034,SPK002,train,vad_v1,308.056,320.104,12.048,data/processed/segments/REC034/REC034_SEG0032.wav,included,uxa raɛqre ḥma aci pruṭija cek imken aḍ isejjel nha amezgaru umi ṭraḥeḍ a rxeḍmeṭ ḥma atɛqreḍ x imeḥdan d jḍiḍ maṭalan mara tsɣuriḍ niɣ mara txedmed ḍgi can lbiru ḥma tɛeqreḍ x iwdan nni kik ixeddmen,no,"xa laɛqrəḥ maš pruṭija šək, imkən aḍ isəjjəl naɣ aməzjar umi aḍəɛḍə xəddməṭ, ḥm tɛqrəḍ x iməxdarnt jḍiḍ matana məra tsɣuriḍ niɣ məra xəddəm ḍgišan lbiru ḥmə təɛqrəṭ x-iwdan nni kix ixəddmən.",xa laɛqreḥ mac pruṭija cek imken aḍ isejjel naɣ amezjar umi aḍeɛḍe xeddmeṭ ḥm tɛqreḍ x imexdarnt jḍiḍ matana mera tsɣuriḍ niɣ mera xeddem ḍgican lbiru ḥme teɛqreṭ x iwdan nni kix ixeddmen,,pending,
REC034_SEG0033,REC034,SPK002,train,vad_v1,320.6,332.552,11.952,data/processed/segments/REC034/REC034_SEG0033.wav,included,walakin ɣir ateɛda ssimana tnayen ṭraṭa safi rɛqer nek u tɣimici yteɛqar niɣ ytsejjal ussan igiɛedden tsemma iḍeggʷer nhara am ṭiwcca,no,"walakin ɣir ad təɛdas ssimanə tnayən ḍraṭa, safi rɛqri nək, u tɣimiši ytəɛqar, niɣ ytsəjjal, ussan iyiɛəddən, təmi ḍəggwər nhara, am ṭ iwšša.",walakin ɣir ad teɛdas ssimane tnayen ḍraṭa safi rɛqri nek u tɣimici yteɛqar niɣ ytsejjal ussan iyiɛedden temi ḍeggwer nhara am ṭ iwcca,,pending,
REC034_SEG0034,REC034,SPK002,train,vad_v1,332.728,345.04,12.312,data/processed/segments/REC034/REC034_SEG0034.wav,included,gi ṭemzi nneɣ ira kurci dejḍiḍ nha amezgaru mig ṭraḥed a medrasa imeddukar imezgura ṭiggʷḍi ṭamezgarut kumbati ṭamezgarut refraḥeṭ inek ṭamezgarut wami tesɣiṭ ttrumbu wami ṭeɛyaḍ bulaṭ,no,"nkiṭəməzə nnəɣ ira kurš idəjḍiḍ,nɛa aməzgarum ig ṭaɛda n drasa, iməddukar iməzgura ṭiggəḍi haməzjarut kumbaṭi ṭaməzgarut, rəfraḥ ṭinək ṭaməzgarut wami təsɣiṭ ṭṭrumbu wami ṭəayaḍ bulaṭ.",nkiṭemeze nneɣ ira kurc idejḍiḍ nɛa amezgarum ig ṭaɛda n drasa imeddukar imezgura ṭiggeḍi hamezjarut kumbaṭi ṭamezgarut refraḥ ṭinek ṭamezgarut wami tesɣiṭ ṭṭrumbu wami ṭeayaḍ bulaṭ,,pending,
REC034_SEG0035,REC034,SPK002,train,vad_v1,345.04,350.632,5.592,data/processed/segments/REC034/REC034_SEG0035.wav,included,niɣ i tḥamucin umi ɛyant llastik ṭwaret temezgarut iɛni kulci ira d jḍiḍ,no,"niɣ tḥamuš inuməɛyənt llastikḍwər təməzjarut, iɛni kulš irad jḍiḍa.",niɣ tḥamuc inumeɛyent llastikḍwer temezjarut iɛni kulc irad jḍiḍa,,pending,
REC034_SEG0036,REC034,SPK002,train,vad_v1,350.936,361.216,10.28,data/processed/segments/REC034/REC034_SEG0036.wav,included,amma rux bezzaf n wessan nneɣ temcabahen suyenni tafed bnadem iteɛqar x kunji niɣ livakuns ines kta zi min yteɛqar,no,"amarux, bzaf n wəssa nnəɣ təmšabahən, suyənni tafdunad m itəɛqar, xkkunji niɣ lifakuns, inəs, ktəa zi min ytəɛqar.",amarux bzaf n wessa nneɣ temcabahen suyenni tafdunad m iteɛqar xkkunji niɣ lifakuns ines ktea zi min yteɛqar,,pending,
REC034_SEG0037,REC034,SPK002,train,vad_v1,361.216,369.704,8.488,data/processed/segments/REC034/REC034_SEG0037.wav,included,x l ayam lɛadiya x wussan i gidja gi rxdemeṭ niɣ s manayenni qqaras kur nha ixessa tiri dakes cin tmesrayṭ dejdid,no,,x layam lɛadiya xwussan i ija nege xdemaṭniɣ s manayenni qqaras kur nha ixessa tiri dakescin tmesrid djejdid,,pending,
REC034_SEG0038,REC034,SPK002,train,vad_v1,369.88,376.2,6.32,data/processed/segments/REC034/REC034_SEG0038.wav,included,maɣa mizi riyam nni nsɛedd gi arrutin am cɣar n tsiyyabiṭen gi rexwa waha,no,"maɣar minzi riyəm nni nsɛəddak i arruṭin, aməš ɣar nətsiyyabiṭən dəkkir x wawa.",maɣar minzi riyem nni nsɛeddak i arruṭin amec ɣar netsiyyabiṭen dekkir x wawa,,pending,
REC034_SEG0039,REC034,SPK002,train,vad_v1,376.344,388.768,12.424,data/processed/segments/REC034/REC034_SEG0039.wav,included,ḍin ijjen tɣemmaṭ nedden ḍi ɛilem tsemma laɛṣab amux ṭessnem rux raɛqer n bnadem daks laɛṣab bezzaf daksen nurunz iseqqan s t gllinziṭ bezzaf n laɛṣab,no,"ḍinn ijjen txummarṭ nəddən zi ɛiləm tmallalaa lɛṣab, aməq ṭəssnəm rux raɛqrən bnadəm, daks lɛṣab zzaf dəksən nuruns, isəqqans t-gllinziṭ, bzabaf n laɛṣab.",ḍinn ijjen txummarṭ nedden zi ɛilem tmallalaa lɛṣab ameq ṭessnem rux raɛqren bnadem daks lɛṣab zzaf deksen nuruns iseqqans t gllinziṭ bzabaf n laɛṣab,,pending,
REC034_SEG0040,REC034,SPK002,train,vad_v1,388.768,402.216,13.448,data/processed/segments/REC034/REC034_SEG0040.wav,included,tkuwwanentid reɛqer n bnaḍem xumi ida xeqqan lɛulama ruxa n ɛilm laɛṣab qanak aweddi qa xmi tmunɣa bnadem raɛqer nnes wu tirici atrakted ɣa lḥayat bicakel ɛam iɛni bnadem xmi gitenumɣa,no,"tkuwwəḍəntid rəɛqər n bnaḍ, xumi nḍaxqarn lɛulam a ruxanɛinm laṣab qanakaw ddi qa xmi ṭənumɣa bnadəm, raɛqəri nnəs wu tiri ši adtraktəd ɣa lḥayət, bišək lɛam, iɛni, bnadəm xmi gitənumɣar.",tkuwweḍentid reɛqer n bnaḍ xumi nḍaxqarn lɛulam a ruxanɛinm laṣab qanakaw ddi qa xmi ṭenumɣa bnadem raɛqeri nnes wu tiri ci adtrakted ɣa lḥayet bicek lɛam iɛni bnadem xmi gitenumɣar,,pending,
REC034_SEG0041,REC034,SPK002,train,vad_v1,402.424,414.056,11.632,data/processed/segments/REC034/REC034_SEG0041.wav,included,iqqaral kulci zriɣṭ rebḥa zriɣṭ rbar zriɣṭ meɣrib zriɣt uruppa zriɣt kulci zriɣṭ iɛni qlil ḍrus n tmesrayin igidja tawḍent,no,"iqqarəɣ kulš izriɣṭ, rəbḥa zriɣṭ rbar zriɣṭ məɣrib zriɣt uruppa zriɣṭ kulš izriɣṭ, iɛni qli ḍru wusn tməsrayən ig əja, tawḍhənt.",iqqareɣ kulc izriɣṭ rebḥa zriɣṭ rbar zriɣṭ meɣrib zriɣt uruppa zriɣṭ kulc izriɣṭ iɛni qli ḍru wusn tmesrayen ig eja tawḍhent,,pending,
